id,market,name,mascot,mascot_name,mascot_common_name,tax_subspecies,tax_species,tax_genus,tax_family,tax_order,tax_class,tax_phylum,tax_kingdom,tax_domain,non_tax_type,flag
aeaaef0d-5238-414e-ac04-c55a22cba208,Oakland,Golden Grizzlies,Golden Bear,,Golden Bear,californicus,arctos,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
aacdc78d-b7fa-48f6-9686-2fdb8a95030e,California,Golden Bears,Golden Bear,Oski,Golden Bear,californicus,arctos,Ursus,Ursidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
6a67ba19-56a8-4dd8-a5ae-9e9f2523c274,Idaho State,Bengals,Bengal Tiger,Benny,Bengal Tiger,tigris,tigris,Panthera,Felidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
949c3398-85e4-4c63-ba71-9a82e06ddea4,Alabama A&M,Bulldogs,Bulldog,Butch,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
8ff733a9-9f93-46de-ba7e-cf6f7e429670,Louisiana Tech,Bulldogs,Bulldog,Tech,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
aba39ad0-6d9f-4946-bf7e-5c63bf966ce6,Siena,Saints,St. Bernard,Bernie,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,Venerated Peoples,1
a44f8c85-7ab6-4a4e-b6f1-c69a4cabe1ed,South Carolina State,Bulldogs,Bulldog,,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
e19cfc47-f23f-4c64-ba29-2e6d12dc45b2,St. Francis (BKN),Terriers,Terriers,,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
3f0ac618-3742-471a-9d1f-03e08f3deca2,Northern Illinois,Huskies,Husky,Victor E Huskie,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
79871449-f5a1-4650-b3cf-85b78fd6943e,Gardner-Webb,Runnin' Bulldogs,Bulldog,Butch,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
aed211c3-23a4-4188-ad70-22c6eba7d765,Drake,Bulldogs,Bulldog,Spike,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
2778d005-cc14-4e58-9bf2-3fc37bffb62f,Maryland,Terrapins,Boston Terrier,Testudo,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
ad9fce12-6b1a-400c-bcbe-29d84d065fc0,UNC Asheville,Bulldogs,Bulldog,Rocky,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
32755362-6336-4dd3-ac34-6f72a6cc150b,UMBC,Retrievers,Retriever,True Grit,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
c13f96ba-c79c-452f-9f63-3b45fae4e543,Samford,Bulldogs,Bulldog,Libby,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
ca478771-aa3d-4231-81e0-b70f519134fb,Yale,Bulldogs,Bulldog,Handsome Dan,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
9916713f-b243-452b-93ae-a2c3ccabf68b,Wofford,Terriers,Terriers,Boss / Terri / Blitz III,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
175d34a7-3823-4e4f-9f11-2464f55360b8,Loyola (MD),Greyhounds,Greyhound,Iggy,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
7cdfcf92-7fe7-46f1-9b66-6912114182e6,Southern Illinois,Salukis,Saluki,Salukis,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
61dadefa-76bf-4db4-8067-f88df540b9cd,Bryant University,Bulldogs,Bulldog,Tupper,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
290a5130-836d-45e6-824f-28704d6ba246,Albany,Great Danes,Great Dane,Damien,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
efba5350-79bc-47aa-a189-db177b95b491,Connecticut,Huskies,Husky,Jonathan,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
de9a0e19-b83c-4b98-a6da-81c110cb364b,Boston University,Terriers,Terriers,,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
4f4b0771-994c-4126-822d-7525aaa00f65,Georgia,Bulldogs,Bulldog,Hairy Dawg,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
a1ba4b89-d97c-44e2-835f-79ad3ccaa5ae,Mississippi State,Bulldogs,Bulldog,Bully,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
e52c9644-717a-46f4-bf16-aeca000b3b44,Washington,Huskies,Husky,Harry,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
53aaac6a-796e-41a6-a04e-6ce74c5717f8,North Carolina A&T,Aggies,Bulldog,Aggie and Aggietha,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
2f4d21f8-6d5f-48a5-abca-52a30583871a,Gonzaga,Bulldogs,Bulldog,Spike,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
8736b67f-5924-400b-bf94-3bd804c36600,Georgetown,Hoyas,Bulldog,Jack,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
dd8db4d8-d984-4cab-b7f6-22c6b8c2c45f,Fresno State,Bulldogs,Bulldog,Victor E. Bulldog,Domestic dog,familiaris,lupus,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Eukaryota,,1
